Month,temp_ave,temp_max,temp_min
1,-1.2,1.6,-3.9
2,-0.7,2.4,-3.6
3,2.7,6.6,-1.0
4,8.4,13.6,3.8
5,13.6,18.7,9.2
6,17.4,22.0,13.8
7,21.5,25.8,18.3
8,23.5,27.9,20.0
9,19.6,24.3,15.5
10,13.2,18.1,8.7
11,7.0,11.1,3.2
12,1.4,4.5,-1.5
