Month,temp_ave,temp_max,temp_min
1,-1.9,1.8,-5.5
2,-1.2,2.9,-5.1
3,2.4,7.3,-2.0
4,8.6,14.4,3.1
5,14.3,20.2,8.8
6,18.6,23.8,14.0
7,22.1,26.8,18.5
8,23.6,28.5,19.8
9,19,24,14.9
10,12.3,17.7,7.5
11,6,10.8,1.6
12,0.9,4.5,-2.5
