Month,temp_ave,temp_max,temp_min
1,4,8.8,-0.1
2,4.5,9.7,0.0
3,7.8,13.7,2.6
4,13.5,19.9,7.6
5,18.3,24.5,12.8
6,22.1,27.3,17.7
7,26,31,22.1
8,27.1,32.9,22.9
9,23,28.3,19.0
10,16.9,22.3,12.4
11,11.2,16.7,6.6
12,6.3,11.3,2.0
