Month,temp_ave,temp_max,temp_min
1,-5.2,-0.6,-10.6
2,-4.8,-0.4,-10.0
3,-0.7,3.0,-4.6
4,3.9,8.0,0.5
5,8.3,12.4,5.0
6,11.9,15.5,9.2
7,15.9,19.3,13.4
8,18.2,21.6,15.7
9,16.1,19.7,12.6
10,10.7,14.9,5.8
11,4.5,8.6,-0.4
12,-1.8,2.4,-6.7
