Month,temp_ave,temp_max,temp_min
1,-3.6,-0.6,-6.8
2,-3,0.2,-6.4
3,0.9,4.3,-2.6
4,7.2,11.7,3.3
5,12.7,17.7,8.6
6,16.8,21.6,13.1
7,20.8,25.2,17.6
8,22.4,26.5,19.2
9,18.4,22.7,14.5
10,11.9,16.2,7.7
11,5,8.5,1.4
12,-1,2,-4.1
