Month,temp_ave,temp_max,temp_min
1,4.4,8.9,0.5
2,5.3,10.1,1.1
3,8.9,14.0,4.1
4,14.4,19.9,9.3
5,19.2,24.5,14.4
6,23.0,27.6,19.1
7,26.8,31.2,23.3
8,28.2,33.2,24.5
9,24.2,28.9,20.6
10,18.4,23.3,14.1
11,12.3,17.3,7.9
12,6.9,11.5,2.8
