Month,temp_ave,temp_max,temp_min
1,6.1,9.9,2.7
2,6.5,10.5,2.9
3,9.7,14,5.7
4,14.9,19.5,10.5
5,19.4,23.8,15.3
6,22.8,26.7,19.7
7,26.7,30.5,23.8
8,28,32.1,24.7
9,24.6,28.3,21.4
10,19.1,22.9,15.6
11,13.6,17.6,10.0
12,8.5,12.4,5.0
