Month,temp_ave,temp_max,temp_min
1,3.1,6.5,0.3
2,3.5,7.5,0.2
3,7,11.8,2.6
4,12.8,18.2,7.8
5,17.9,23.1,13.2
6,21.8,26.3,18.1
7,25.9,30.1,22.4
8,27.3,32.1,23.6
9,22.9,27.5,19.2
10,16.8,21.8,12.7
11,11.1,15.9,7.1
12,5.9,9.8,2.6
