Month,temp_ave,temp_max,temp_min
1,6.7,11.6,1.9
2,7.5,12.3,2.8
3,10.6,15.2,5.9
4,15.0,19.6,10.5
5,19.1,23.3,15.0
6,22.2,25.9,19.0
7,25.9,29.6,22.9
8,27.2,31.1,24.1
9,24.3,28.1,20.9
10,19.2,23.4,15.3
11,14.1,18.6,9.7
12,9.1,14.0,4.3
