Month,temp_ave,temp_max,temp_min
1,5.7,10.5,1.3
2,7.2,12.2,2.5
3,10.8,16.0,5.8
4,15.8,21.4,10.5
5,20.3,25.8,15.4
6,23.7,28.1,20.0
7,27.4,31.7,24.1
8,28.3,33.2,24.5
9,24.9,29.8,21.0
10,19.3,24.8,14.5
11,13.3,18.6,8.5
12,7.8,12.9,3.1
