Month,temp_ave,temp_max,temp_min
1,-0.4,5.0,-5.1
2,0.4,6.3,-4.6
3,4.3,10.9,-1.2
4,10.7,17.9,4.2
5,16.3,23.3,10.1
6,20.0,26.2,15.1
7,23.9,29.7,19.6
8,24.9,31.2,20.4
9,20.2,25.8,16.0
10,13.5,19.5,8.7
11,7.6,13.7,2.4
12,2.4,8.0,-2.5
