Month,temp_ave,temp_max,temp_min
1,3.7,6.9,0.9
2,4.0,7.5,0.8
3,7.2,11.5,3.2
4,12.6,17.4,8.0
5,17.6,22.3,13.3
6,21.5,25.6,18.1
7,25.7,29.5,22.6
8,27.2,31.4,23.9
9,23.0,27.1,19.7
10,17.2,21.6,13.4
11,11.7,15.8,7.9
12,6.6,10.2,3.3
