Month,temp_ave,temp_max,temp_min
1,5.2,9.6,1.7
2,6.0,10.6,2.2
3,9.3,14.2,5.0
4,14.5,19.5,9.9
5,19.3,24.0,14.9
6,23.0,27.0,19.5
7,26.9,30.6,23.9
8,28.2,32.4,24.8
9,24.3,28.7,20.8
10,18.5,23.4,14.5
11,12.7,17.4,8.7
12,7.4,12.0,3.7
