Month,temp_ave,temp_max,temp_min
1,1.7,5.3,-1.6
2,2.2,6.1,-1.4
3,5.2,9.6,1.2
4,10.5,15.2,6.2
5,15.4,20.0,11.4
6,18.8,22.7,15.8
7,22.5,26.1,19.8
8,24.4,28.2,21.6
9,21.0,24.7,17.8
10,15.4,19.6,11.5
11,9.5,13.8,5.4
12,4.5,8.3,0.9
