Month,temp_ave,temp_max,temp_min
1,6.7,10.0,3.6
2,7.5,11.3,4.2
3,10.6,14.7,6.9
4,15.3,19.7,11.4
5,19.7,24.1,15.9
6,23.1,27.0,20.1
7,27.3,31.1,24.4
8,28.3,32.4,25.2
9,24.5,28.4,21.4
10,19.3,23.5,15.7
11,14.0,18.0,10.4
12,8.9,12.5,5.6
