Month,temp_ave,temp_max,temp_min
1,-0.6,3.6,-4.1
2,0.2,5.0,-3.7
3,4.1,10.0,-0.6
4,10.6,17.4,4.8
5,16.2,22.9,10.7
6,20.2,25.9,15.9
7,24.0,29.4,20.3
8,25.4,31.1,21.5
9,20.8,25.9,17.1
10,14.1,19.4,9.9
11,7.8,13.2,3.3
12,2.2,6.8,-1.6
