Month,temp_ave,temp_max,temp_min
1,6,9.7,2.6
2,6.5,10.4,2.9
3,9.7,14.1,5.6
4,15,19.6,10.5
5,19.5,24.1,15.4
6,23.1,27,19.8
7,27.1,30.9,24.1
8,28.3,32.5,24.9
9,24.7,28.8,21.3
10,19,23.2,15.2
11,13.6,17.8,9.7
12,8.5,12.4,4.9
