Month,temp_ave,temp_max,temp_min
1,18.7,21.3,16.5
2,19.2,21.8,17.0
3,20.9,23.6,18.6
4,23.3,25.9,21.2
5,25.9,28.6,23.9
6,28.2,30.7,26.4
7,29.6,32.1,27.6
8,29.3,31.9,27.2
9,28.1,30.9,26.0
10,25.9,28.8,23.8
11,23.4,26.0,21.3
12,20.2,22.7,18.1
