Month,temp_ave,temp_max,temp_min
1,4.6,9.1,0.9
2,5.4,10.3,1.3
3,9.0,14.3,4.4
4,14.5,20.0,9.7
5,19.2,24.4,14.7
6,22.8,27.4,19.2
7,26.6,31.1,23.3
8,28.0,33.0,24.5
9,24.2,28.8,20.8
10,18.3,23.1,14.5
11,12.4,17.2,8.3
12,7.0,11.6,3.2
