Month,temp_ave,temp_max,temp_min
1,8,11.4,4.8
2,8.6,12.2,5.1
3,11.4,15,7.8
4,15.7,19.1,12.3
5,19.2,22.4,16.3
6,22,24.8,19.7
7,25.6,28.2,23.6
8,26.8,29.8,24.6
9,24.4,27.4,22.0
10,19.9,23.1,17.2
11,15.4,18.7,12.3
12,10.5,13.8,7.3
