Month,temp_ave,temp_max,temp_min
1,14.8,17.6,12.0
2,15.2,18.1,12.4
3,17.1,20.3,14.1
4,19.8,23.1,16.7
5,22.7,26.1,19.8
6,26.1,29.3,23.4
7,28.7,32.3,26.0
8,28.5,31.9,25.9
9,26.9,30.3,24.2
10,23.8,26.9,21.0
11,20.3,23.4,17.4
12,16.5,19.5,13.7
