Month,temp_ave,temp_max,temp_min
1,3.1,9.0,-2.1
2,3.9,9.6,-1.3
3,7.1,12.7,2.0
4,12.2,17.7,6.8
5,16.8,21.8,12.3
6,20.0,24.1,16.6
7,23.8,28.0,20.7
8,25.5,29.9,22.2
9,21.9,26.0,18.5
10,16.3,21.0,12.1
11,10.6,16.1,5.6
12,5.4,11.4,0.3
