Month,temp_ave,temp_max,temp_min
1,6,9.5,2.8
2,6.4,10.2,3.0
3,9.6,13.9,5.7
4,15.1,19.9,10.8
5,19.9,24.7,15.7
6,23.5,27.9,20.1
7,27.5,31.7,24.4
8,28.9,33.6,25.6
9,25,29.3,21.7
10,19.2,23.5,15.6
11,13.6,17.7,10.0
12,8.5,12.2,5.1
