Month,temp_ave,temp_max,temp_min
1,5.8,9.8,2.0
2,6.2,10.3,2.5
3,9.3,13.4,5.3
4,14.2,18.5,10.3
5,18.6,22.8,15.1
6,21.6,25.2,18.7
7,25.3,28.9,22.6
8,27,30.8,24.2
9,23.5,27.1,20.8
10,18.3,22,15.1
11,13.2,17,9.5
12,8.4,12.4,4.5
