Month,temp_ave,temp_max,temp_min
1,8.4,12.9,4.4
2,9.7,14.3,5.5
3,12.7,17.3,8.5
4,17.0,21.7,12.7
5,20.8,25.3,17.1
6,24.0,27.6,21.1
7,28.0,31.8,25.1
8,28.6,32.6,25.7
9,26.0,30.0,22.9
10,21.3,25.7,17.4
11,15.8,20.4,11.7
12,10.5,15.2,6.3
