Month,temp_ave,temp_max,temp_min
1,5.6,10.0,1.7
2,6.9,11.6,2.7
3,10.3,15.2,5.7
4,15.2,20.7,10.2
5,19.9,25.4,15.0
6,23.5,28.0,19.8
7,27.2,31.5,24.0
8,28.1,32.9,24.5
9,24.4,29.1,20.7
10,18.9,24.1,14.5
11,13.1,18.1,8.8
12,7.7,12.3,3.6
