Month,temp_ave,temp_max,temp_min
1,-7.4,-3.6,-12.1
2,-6.4,-2.0,-11.6
3,-1.6,2.9,-6.4
4,5.5,11.1,0.3
5,12.1,18.4,6.3
6,16.8,22.7,11.6
7,20.8,26.3,16.3
8,21.4,26.6,17.0
9,16.2,21.8,11.5
10,9.2,14.6,4.4
11,2.4,6.2,-1.3
12,-4.1,-0.8,-7.9
