fips,lat,lon
279,43.8,142.0
280,43.8,142.1
281,43.8,142.2
282,43.8,142.2
283,43.8,142.4
284,43.8,142.5
285,43.8,142.6
286,43.8,142.8
287,43.8,142.8
288,43.8,142.9
289,43.8,143.0
290,43.8,143.1
291,43.8,143.2
292,43.8,143.2
293,43.8,143.4
294,43.8,143.5
295,43.8,143.6
296,43.8,143.8
297,43.8,143.8
298,43.8,143.9
299,43.8,144.0
300,43.8,144.1
301,43.8,144.2
302,43.8,144.2
303,43.8,144.4
304,43.8,144.5
305,43.8,144.6
306,43.8,144.8
307,43.8,144.8
308,43.8,144.9
309,43.8,145.0
310,43.8,145.5
311,43.8,146.8
312,43.8,146.8
313,43.7,141.4
314,43.7,141.5
315,43.7,141.6
316,43.7,141.8
317,43.7,141.8
318,43.7,141.9
319,43.7,142.0
320,43.7,142.1
321,43.7,142.2
322,43.7,142.2
323,43.7,142.4
324,43.7,142.5
325,43.7,142.6
326,43.7,142.8
327,43.7,142.8
328,43.7,142.9
329,43.7,143.0
330,43.7,143.1
331,43.7,143.2
332,43.7,143.2
333,43.7,143.4
334,43.7,143.5
335,43.7,143.6
336,43.7,143.8
337,43.7,143.8
338,43.7,143.9
339,43.7,144.0
340,43.7,144.1
341,43.7,144.2
342,43.7,144.2
343,43.7,144.4
344,43.7,144.5
345,43.7,144.6
346,43.7,144.8
347,43.7,144.8
348,43.7,144.9
349,43.7,145.0
350,43.7,145.1
351,43.6,141.4
352,43.6,141.5
353,43.6,141.6
354,43.6,141.8
355,43.6,141.8
356,43.6,141.9
357,43.6,142.0
358,43.6,142.1
359,43.6,142.2
360,43.6,142.2
361,43.6,142.4
362,43.6,142.5
363,43.6,142.6
364,43.6,142.8
365,43.6,142.8
366,43.6,142.9
367,43.6,143.0
368,43.6,143.1
369,43.6,143.2
370,43.6,143.2
371,43.6,143.4
372,43.6,143.5
373,43.6,143.6
374,43.6,143.8
375,43.6,143.8
376,43.6,143.9
377,43.6,144.0
378,43.6,144.1
379,43.6,144.2
380,43.6,144.2
381,43.6,144.4
382,43.6,144.5
383,43.6,144.6
384,43.6,144.8
385,43.6,144.8
386,43.6,144.9
387,43.6,145.0
388,43.6,145.1
389,43.5,141.5
390,43.5,141.6
391,43.5,141.8
392,43.5,141.8
393,43.5,141.9
394,43.5,142.0
395,43.5,142.1
396,43.5,142.2
397,43.5,142.2
398,43.5,142.4
399,43.5,142.5
400,43.5,142.6
401,43.5,142.8
402,43.5,142.8
403,43.5,142.9
404,43.5,143.0
405,43.5,143.1
406,43.5,143.2
407,43.5,143.2
408,43.5,143.4
409,43.5,143.5
410,43.5,143.6
411,43.5,143.8
412,43.5,143.8
413,43.5,143.9
414,43.5,144.0
415,43.5,144.1
416,43.5,144.2
417,43.5,144.2
418,43.5,144.4
419,43.5,144.5
420,43.5,144.6
421,43.5,144.8
422,43.5,144.8
423,43.5,144.9
424,43.5,145.0
425,43.5,145.1
426,43.5,145.2
427,43.4,141.5
428,43.4,141.6
429,43.4,141.8
